TIPO_ELEZIONI,QUESITO,ANNO,PREFERENZA,ABS_RANK,TIPO_METRICA,VOTI,LBL_TIPO_METRICA,FLG_NOT_VALID
REFERENDUM,1. REFERENDUM SULLA FORMA ISTITUZIONALE DELLO STATO,1946,NULLE,7,PERC_ASS,1.3,Percentuale (su aventi diritto),1
REFERENDUM,1. Divorzio,1974,ELETTORI,1,VOTI_OTTENUTI,37646322.0,Voti ottenuti,1
REFERENDUM,1. Divorzio,1974,ELETTORI,1,PERC_ASS,100.0,Percentuale (su aventi diritto),1
REFERENDUM,1. Divorzio,1974,ELETTORI,1,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,1. Divorzio,1974,VOTANTI,2,VOTI_OTTENUTI,33023179.0,Voti ottenuti,1
REFERENDUM,1. Divorzio,1974,VOTANTI,2,PERC_ASS,87.72,Percentuale (su aventi diritto),1
REFERENDUM,1. Divorzio,1974,VOTANTI,2,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,1. Divorzio,1974,NO,3,VOTI_OTTENUTI,19138300.0,Voti ottenuti,0
REFERENDUM,1. Divorzio,1974,NO,3,PERC_ASS,50.84,Percentuale (su aventi diritto),0
REFERENDUM,1. Divorzio,1974,NO,3,PERC_VAL,59.26,Percentuale (su voti validi),0
REFERENDUM,1. Divorzio,1974,SI,4,PERC_ASS,34.95,Percentuale (su aventi diritto),0
REFERENDUM,1. Divorzio,1974,SI,4,PERC_VAL,40.74,Percentuale (su voti validi),0
REFERENDUM,1. Divorzio,1974,SI,4,VOTI_OTTENUTI,13157558.0,Voti ottenuti,0
REFERENDUM,1. Divorzio,1974,ASTENUTI,5,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,1. Divorzio,1974,ASTENUTI,5,VOTI_OTTENUTI,4623143.0,Voti ottenuti,1
REFERENDUM,1. Divorzio,1974,ASTENUTI,5,PERC_ASS,12.28,Percentuale (su aventi diritto),1
REFERENDUM,1. Divorzio,1974,BIANCHE,6,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,1. Divorzio,1974,BIANCHE,6,VOTI_OTTENUTI,425694.0,Voti ottenuti,1
REFERENDUM,1. Divorzio,1974,BIANCHE,6,PERC_ASS,1.13,Percentuale (su aventi diritto),1
REFERENDUM,1. Divorzio,1974,NULLE,7,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,1. Divorzio,1974,NULLE,7,VOTI_OTTENUTI,301627.0,Voti ottenuti,1
REFERENDUM,1. Divorzio,1974,NULLE,7,PERC_ASS,0.8,Percentuale (su aventi diritto),1
REFERENDUM,2. Finanziamento pubblico dei partiti,1978,ELETTORI,1,VOTI_OTTENUTI,41248657.0,Voti ottenuti,1
REFERENDUM,2. Finanziamento pubblico dei partiti,1978,ELETTORI,1,PERC_ASS,100.0,Percentuale (su aventi diritto),1
REFERENDUM,2. Finanziamento pubblico dei partiti,1978,ELETTORI,1,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,2. Finanziamento pubblico dei partiti,1978,VOTANTI,2,VOTI_OTTENUTI,33488690.0,Voti ottenuti,1
REFERENDUM,2. Finanziamento pubblico dei partiti,1978,VOTANTI,2,PERC_ASS,81.19,Percentuale (su aventi diritto),1
REFERENDUM,2. Finanziamento pubblico dei partiti,1978,VOTANTI,2,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,2. Finanziamento pubblico dei partiti,1978,NO,3,VOTI_OTTENUTI,17718478.0,Voti ottenuti,0
REFERENDUM,2. Finanziamento pubblico dei partiti,1978,NO,3,PERC_ASS,42.96,Percentuale (su aventi diritto),0
REFERENDUM,2. Finanziamento pubblico dei partiti,1978,NO,3,PERC_VAL,56.41,Percentuale (su voti validi),0
REFERENDUM,2. Finanziamento pubblico dei partiti,1978,SI,4,PERC_ASS,33.19,Percentuale (su aventi diritto),0
REFERENDUM,2. Finanziamento pubblico dei partiti,1978,SI,4,PERC_VAL,43.59,Percentuale (su voti validi),0
REFERENDUM,2. Finanziamento pubblico dei partiti,1978,SI,4,VOTI_OTTENUTI,13691900.0,Voti ottenuti,0
REFERENDUM,2. Finanziamento pubblico dei partiti,1978,ASTENUTI,5,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,2. Finanziamento pubblico dei partiti,1978,ASTENUTI,5,VOTI_OTTENUTI,7759967.0,Voti ottenuti,1
REFERENDUM,2. Finanziamento pubblico dei partiti,1978,ASTENUTI,5,PERC_ASS,18.81,Percentuale (su aventi diritto),1
REFERENDUM,2. Finanziamento pubblico dei partiti,1978,BIANCHE,6,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,2. Finanziamento pubblico dei partiti,1978,BIANCHE,6,VOTI_OTTENUTI,1091213.0,Voti ottenuti,1
REFERENDUM,2. Finanziamento pubblico dei partiti,1978,BIANCHE,6,PERC_ASS,2.65,Percentuale (su aventi diritto),1
REFERENDUM,2. Finanziamento pubblico dei partiti,1978,NULLE,7,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,2. Finanziamento pubblico dei partiti,1978,NULLE,7,VOTI_OTTENUTI,987099.0,Voti ottenuti,1
REFERENDUM,2. Finanziamento pubblico dei partiti,1978,NULLE,7,PERC_ASS,2.39,Percentuale (su aventi diritto),1
REFERENDUM,2. Ergastolo,1981,ELETTORI,1,VOTI_OTTENUTI,43154682.0,Voti ottenuti,1
REFERENDUM,2. Ergastolo,1981,ELETTORI,1,PERC_ASS,100.0,Percentuale (su aventi diritto),1
REFERENDUM,2. Ergastolo,1981,ELETTORI,1,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,2. Ergastolo,1981,VOTANTI,2,VOTI_OTTENUTI,34277194.0,Voti ottenuti,1
REFERENDUM,2. Ergastolo,1981,VOTANTI,2,PERC_ASS,79.43,Percentuale (su aventi diritto),1
REFERENDUM,2. Ergastolo,1981,VOTANTI,2,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,2. Ergastolo,1981,NO,3,VOTI_OTTENUTI,24330954.0,Voti ottenuti,0
REFERENDUM,2. Ergastolo,1981,NO,3,PERC_ASS,56.38,Percentuale (su aventi diritto),0
REFERENDUM,2. Ergastolo,1981,NO,3,PERC_VAL,77.37,Percentuale (su voti validi),0
REFERENDUM,2. Ergastolo,1981,ASTENUTI,4,PERC_ASS,20.57,Percentuale (su aventi diritto),1
REFERENDUM,2. Ergastolo,1981,ASTENUTI,4,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,2. Ergastolo,1981,ASTENUTI,4,VOTI_OTTENUTI,8877488.0,Voti ottenuti,1
REFERENDUM,2. Ergastolo,1981,SI,5,PERC_VAL,22.63,Percentuale (su voti validi),0
REFERENDUM,2. Ergastolo,1981,SI,5,VOTI_OTTENUTI,7114719.0,Voti ottenuti,0
REFERENDUM,2. Ergastolo,1981,SI,5,PERC_ASS,16.49,Percentuale (su aventi diritto),0
REFERENDUM,2. Ergastolo,1981,BIANCHE,6,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,2. Ergastolo,1981,BIANCHE,6,VOTI_OTTENUTI,1978371.0,Voti ottenuti,1
REFERENDUM,2. Ergastolo,1981,BIANCHE,6,PERC_ASS,4.58,Percentuale (su aventi diritto),1
REFERENDUM,2. Ergastolo,1981,NULLE,7,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,2. Ergastolo,1981,NULLE,7,VOTI_OTTENUTI,853150.0,Voti ottenuti,1
REFERENDUM,2. Ergastolo,1981,NULLE,7,PERC_ASS,1.98,Percentuale (su aventi diritto),1
REFERENDUM,3. Porto d'armi,1981,ELETTORI,1,VOTI_OTTENUTI,43154682.0,Voti ottenuti,1
REFERENDUM,3. Porto d'armi,1981,ELETTORI,1,PERC_ASS,100.0,Percentuale (su aventi diritto),1
REFERENDUM,3. Porto d'armi,1981,ELETTORI,1,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,3. Porto d'armi,1981,VOTANTI,2,VOTI_OTTENUTI,34275376.0,Voti ottenuti,1
REFERENDUM,3. Porto d'armi,1981,VOTANTI,2,PERC_ASS,79.42,Percentuale (su aventi diritto),1
REFERENDUM,3. Porto d'armi,1981,VOTANTI,2,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,3. Porto d'armi,1981,NO,3,VOTI_OTTENUTI,26995173.0,Voti ottenuti,0
REFERENDUM,3. Porto d'armi,1981,NO,3,PERC_ASS,62.55,Percentuale (su aventi diritto),0
REFERENDUM,3. Porto d'armi,1981,NO,3,PERC_VAL,85.92,Percentuale (su voti validi),0
REFERENDUM,3. Porto d'armi,1981,ASTENUTI,4,PERC_ASS,20.58,Percentuale (su aventi diritto),1
REFERENDUM,3. Porto d'armi,1981,ASTENUTI,4,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,3. Porto d'armi,1981,ASTENUTI,4,VOTI_OTTENUTI,8879306.0,Voti ottenuti,1
REFERENDUM,3. Porto d'armi,1981,SI,5,PERC_VAL,14.08,Percentuale (su voti validi),0
REFERENDUM,3. Porto d'armi,1981,SI,5,VOTI_OTTENUTI,4423426.0,Voti ottenuti,0
REFERENDUM,3. Porto d'armi,1981,SI,5,PERC_ASS,10.25,Percentuale (su aventi diritto),0
REFERENDUM,3. Porto d'armi,1981,BIANCHE,6,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,3. Porto d'armi,1981,BIANCHE,6,VOTI_OTTENUTI,2014303.0,Voti ottenuti,1
REFERENDUM,3. Porto d'armi,1981,BIANCHE,6,PERC_ASS,4.67,Percentuale (su aventi diritto),1
REFERENDUM,3. Porto d'armi,1981,NULLE,7,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,3. Porto d'armi,1981,NULLE,7,VOTI_OTTENUTI,842474.0,Voti ottenuti,1
REFERENDUM,3. Porto d'armi,1981,NULLE,7,PERC_ASS,1.95,Percentuale (su aventi diritto),1
REFERENDUM,5. Interruzione gravidanza (Proposta Movimento per la vita),1981,ELETTORI,1,VOTI_OTTENUTI,43154682.0,Voti ottenuti,1
REFERENDUM,5. Interruzione gravidanza (Proposta Movimento per la vita),1981,ELETTORI,1,PERC_ASS,100.0,Percentuale (su aventi diritto),1
REFERENDUM,5. Interruzione gravidanza (Proposta Movimento per la vita),1981,ELETTORI,1,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,5. Interruzione gravidanza (Proposta Movimento per la vita),1981,VOTANTI,2,VOTI_OTTENUTI,34277119.0,Voti ottenuti,1
REFERENDUM,5. Interruzione gravidanza (Proposta Movimento per la vita),1981,VOTANTI,2,PERC_ASS,79.43,Percentuale (su aventi diritto),1
REFERENDUM,5. Interruzione gravidanza (Proposta Movimento per la vita),1981,VOTANTI,2,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,5. Interruzione gravidanza (Proposta Movimento per la vita),1981,NO,3,VOTI_OTTENUTI,21505323.0,Voti ottenuti,0
REFERENDUM,5. Interruzione gravidanza (Proposta Movimento per la vita),1981,NO,3,PERC_ASS,49.83,Percentuale (su aventi diritto),0
REFERENDUM,5. Interruzione gravidanza (Proposta Movimento per la vita),1981,NO,3,PERC_VAL,68.0,Percentuale (su voti validi),0
REFERENDUM,5. Interruzione gravidanza (Proposta Movimento per la vita),1981,SI,4,PERC_ASS,23.45,Percentuale (su aventi diritto),0
REFERENDUM,5. Interruzione gravidanza (Proposta Movimento per la vita),1981,SI,4,PERC_VAL,32.0,Percentuale (su voti validi),0
REFERENDUM,5. Interruzione gravidanza (Proposta Movimento per la vita),1981,SI,4,VOTI_OTTENUTI,10119797.0,Voti ottenuti,0
REFERENDUM,5. Interruzione gravidanza (Proposta Movimento per la vita),1981,ASTENUTI,5,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,5. Interruzione gravidanza (Proposta Movimento per la vita),1981,ASTENUTI,5,VOTI_OTTENUTI,8877563.0,Voti ottenuti,1
REFERENDUM,5. Interruzione gravidanza (Proposta Movimento per la vita),1981,ASTENUTI,5,PERC_ASS,20.57,Percentuale (su aventi diritto),1
REFERENDUM,5. Interruzione gravidanza (Proposta Movimento per la vita),1981,BIANCHE,6,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,5. Interruzione gravidanza (Proposta Movimento per la vita),1981,BIANCHE,6,VOTI_OTTENUTI,1733769.0,Voti ottenuti,1
REFERENDUM,5. Interruzione gravidanza (Proposta Movimento per la vita),1981,BIANCHE,6,PERC_ASS,4.02,Percentuale (su aventi diritto),1
REFERENDUM,5. Interruzione gravidanza (Proposta Movimento per la vita),1981,NULLE,7,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,5. Interruzione gravidanza (Proposta Movimento per la vita),1981,NULLE,7,VOTI_OTTENUTI,918230.0,Voti ottenuti,1
REFERENDUM,5. Interruzione gravidanza (Proposta Movimento per la vita),1981,NULLE,7,PERC_ASS,2.13,Percentuale (su aventi diritto),1
REFERENDUM,1. Indennita' di contingenza,1985,ELETTORI,1,VOTI_OTTENUTI,44904290.0,Voti ottenuti,1
REFERENDUM,1. Indennita' di contingenza,1985,ELETTORI,1,PERC_ASS,100.0,Percentuale (su aventi diritto),1
REFERENDUM,1. Indennita' di contingenza,1985,ELETTORI,1,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,1. Indennita' di contingenza,1985,VOTANTI,2,VOTI_OTTENUTI,34959404.0,Voti ottenuti,1
REFERENDUM,1. Indennita' di contingenza,1985,VOTANTI,2,PERC_ASS,77.85,Percentuale (su aventi diritto),1
REFERENDUM,1. Indennita' di contingenza,1985,VOTANTI,2,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,1. Indennita' di contingenza,1985,NO,3,VOTI_OTTENUTI,18384788.0,Voti ottenuti,0
REFERENDUM,1. Indennita' di contingenza,1985,NO,3,PERC_ASS,40.94,Percentuale (su aventi diritto),0
REFERENDUM,1. Indennita' di contingenza,1985,NO,3,PERC_VAL,54.32,Percentuale (su voti validi),0
REFERENDUM,1. Indennita' di contingenza,1985,SI,4,PERC_ASS,34.43,Percentuale (su aventi diritto),0
REFERENDUM,1. Indennita' di contingenza,1985,SI,4,PERC_VAL,45.68,Percentuale (su voti validi),0
REFERENDUM,1. Indennita' di contingenza,1985,SI,4,VOTI_OTTENUTI,15460855.0,Voti ottenuti,0
REFERENDUM,1. Indennita' di contingenza,1985,ASTENUTI,5,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,1. Indennita' di contingenza,1985,ASTENUTI,5,VOTI_OTTENUTI,9944886.0,Voti ottenuti,1
REFERENDUM,1. Indennita' di contingenza,1985,ASTENUTI,5,PERC_ASS,22.15,Percentuale (su aventi diritto),1
REFERENDUM,1. Indennita' di contingenza,1985,NULLE,6,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,1. Indennita' di contingenza,1985,NULLE,6,VOTI_OTTENUTI,636932.0,Voti ottenuti,1
REFERENDUM,1. Indennita' di contingenza,1985,NULLE,6,PERC_ASS,1.42,Percentuale (su aventi diritto),1
REFERENDUM,1. Indennita' di contingenza,1985,BIANCHE,7,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,1. Indennita' di contingenza,1985,BIANCHE,7,VOTI_OTTENUTI,476829.0,Voti ottenuti,1
REFERENDUM,1. Indennita' di contingenza,1985,BIANCHE,7,PERC_ASS,1.06,Percentuale (su aventi diritto),1
REFERENDUM,3. Elezione della Camera dei Deputati. Abrogazione della possibilita' per uno stesso candidato di presentare la propria candidatura in piu' di una circoscrizione,2009,ELETTORI,1,VOTI_OTTENUTI,46974782.0,Voti ottenuti,1
REFERENDUM,3. Elezione della Camera dei Deputati. Abrogazione della possibilita' per uno stesso candidato di presentare la propria candidatura in piu' di una circoscrizione,2009,ELETTORI,1,PERC_ASS,100.0,Percentuale (su aventi diritto),1
REFERENDUM,3. Elezione della Camera dei Deputati. Abrogazione della possibilita' per uno stesso candidato di presentare la propria candidatura in piu' di una circoscrizione,2009,ELETTORI,1,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,3. Elezione della Camera dei Deputati. Abrogazione della possibilita' per uno stesso candidato di presentare la propria candidatura in piu' di una circoscrizione,2009,ASTENUTI,2,VOTI_OTTENUTI,35593854.0,Voti ottenuti,1
REFERENDUM,3. Elezione della Camera dei Deputati. Abrogazione della possibilita' per uno stesso candidato di presentare la propria candidatura in piu' di una circoscrizione,2009,ASTENUTI,2,PERC_ASS,75.77,Percentuale (su aventi diritto),1
REFERENDUM,3. Elezione della Camera dei Deputati. Abrogazione della possibilita' per uno stesso candidato di presentare la propria candidatura in piu' di una circoscrizione,2009,ASTENUTI,2,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,3. Elezione della Camera dei Deputati. Abrogazione della possibilita' per uno stesso candidato di presentare la propria candidatura in piu' di una circoscrizione,2009,VOTANTI,3,VOTI_OTTENUTI,11380928.0,Voti ottenuti,1
REFERENDUM,3. Elezione della Camera dei Deputati. Abrogazione della possibilita' per uno stesso candidato di presentare la propria candidatura in piu' di una circoscrizione,2009,VOTANTI,3,PERC_ASS,24.23,Percentuale (su aventi diritto),1
REFERENDUM,3. Elezione della Camera dei Deputati. Abrogazione della possibilita' per uno stesso candidato di presentare la propria candidatura in piu' di una circoscrizione,2009,VOTANTI,3,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,3. Elezione della Camera dei Deputati. Abrogazione della possibilita' per uno stesso candidato di presentare la propria candidatura in piu' di una circoscrizione,2009,SI,4,PERC_ASS,19.35,Percentuale (su aventi diritto),0
REFERENDUM,3. Elezione della Camera dei Deputati. Abrogazione della possibilita' per uno stesso candidato di presentare la propria candidatura in piu' di una circoscrizione,2009,SI,4,PERC_VAL,87.85,Percentuale (su voti validi),0
REFERENDUM,3. Elezione della Camera dei Deputati. Abrogazione della possibilita' per uno stesso candidato di presentare la propria candidatura in piu' di una circoscrizione,2009,SI,4,VOTI_OTTENUTI,9089908.0,Voti ottenuti,0
REFERENDUM,3. Elezione della Camera dei Deputati. Abrogazione della possibilita' per uno stesso candidato di presentare la propria candidatura in piu' di una circoscrizione,2009,NO,5,PERC_VAL,12.15,Percentuale (su voti validi),0
REFERENDUM,3. Elezione della Camera dei Deputati. Abrogazione della possibilita' per uno stesso candidato di presentare la propria candidatura in piu' di una circoscrizione,2009,NO,5,VOTI_OTTENUTI,1257352.0,Voti ottenuti,0
REFERENDUM,3. Elezione della Camera dei Deputati. Abrogazione della possibilita' per uno stesso candidato di presentare la propria candidatura in piu' di una circoscrizione,2009,NO,5,PERC_ASS,2.68,Percentuale (su aventi diritto),0
REFERENDUM,3. Elezione della Camera dei Deputati. Abrogazione della possibilita' per uno stesso candidato di presentare la propria candidatura in piu' di una circoscrizione,2009,BIANCHE,6,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,3. Elezione della Camera dei Deputati. Abrogazione della possibilita' per uno stesso candidato di presentare la propria candidatura in piu' di una circoscrizione,2009,BIANCHE,6,VOTI_OTTENUTI,722094.0,Voti ottenuti,1
REFERENDUM,3. Elezione della Camera dei Deputati. Abrogazione della possibilita' per uno stesso candidato di presentare la propria candidatura in piu' di una circoscrizione,2009,BIANCHE,6,PERC_ASS,1.54,Percentuale (su aventi diritto),1
REFERENDUM,3. Elezione della Camera dei Deputati. Abrogazione della possibilita' per uno stesso candidato di presentare la propria candidatura in piu' di una circoscrizione,2009,NULLE,7,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,3. Elezione della Camera dei Deputati. Abrogazione della possibilita' per uno stesso candidato di presentare la propria candidatura in piu' di una circoscrizione,2009,NULLE,7,VOTI_OTTENUTI,311574.0,Voti ottenuti,1
REFERENDUM,3. Elezione della Camera dei Deputati. Abrogazione della possibilita' per uno stesso candidato di presentare la propria candidatura in piu' di una circoscrizione,2009,NULLE,7,PERC_ASS,0.66,Percentuale (su aventi diritto),1
REFERENDUM,1. Modalita' di affidamento e gestione dei servizi pubblici locali di rilevanza economica - Abrogazione,2011,ELETTORI,1,VOTI_OTTENUTI,47117456.0,Voti ottenuti,1
REFERENDUM,1. Modalita' di affidamento e gestione dei servizi pubblici locali di rilevanza economica - Abrogazione,2011,ELETTORI,1,PERC_ASS,100.0,Percentuale (su aventi diritto),1
REFERENDUM,1. Modalita' di affidamento e gestione dei servizi pubblici locali di rilevanza economica - Abrogazione,2011,ELETTORI,1,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,1. Modalita' di affidamento e gestione dei servizi pubblici locali di rilevanza economica - Abrogazione,2011,VOTANTI,2,VOTI_OTTENUTI,26876191.0,Voti ottenuti,1
REFERENDUM,1. Modalita' di affidamento e gestione dei servizi pubblici locali di rilevanza economica - Abrogazione,2011,VOTANTI,2,PERC_ASS,57.04,Percentuale (su aventi diritto),1
REFERENDUM,1. Modalita' di affidamento e gestione dei servizi pubblici locali di rilevanza economica - Abrogazione,2011,VOTANTI,2,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,1. Modalita' di affidamento e gestione dei servizi pubblici locali di rilevanza economica - Abrogazione,2011,SI,3,VOTI_OTTENUTI,25411092.0,Voti ottenuti,0
REFERENDUM,1. Modalita' di affidamento e gestione dei servizi pubblici locali di rilevanza economica - Abrogazione,2011,SI,3,PERC_ASS,53.93,Percentuale (su aventi diritto),0
REFERENDUM,1. Modalita' di affidamento e gestione dei servizi pubblici locali di rilevanza economica - Abrogazione,2011,SI,3,PERC_VAL,95.84,Percentuale (su voti validi),0
REFERENDUM,1. Modalita' di affidamento e gestione dei servizi pubblici locali di rilevanza economica - Abrogazione,2011,ASTENUTI,4,PERC_ASS,42.96,Percentuale (su aventi diritto),1
REFERENDUM,1. Modalita' di affidamento e gestione dei servizi pubblici locali di rilevanza economica - Abrogazione,2011,ASTENUTI,4,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,1. Modalita' di affidamento e gestione dei servizi pubblici locali di rilevanza economica - Abrogazione,2011,ASTENUTI,4,VOTI_OTTENUTI,20241265.0,Voti ottenuti,1
REFERENDUM,1. Modalita' di affidamento e gestione dei servizi pubblici locali di rilevanza economica - Abrogazione,2011,NO,5,PERC_VAL,4.16,Percentuale (su voti validi),0
REFERENDUM,1. Modalita' di affidamento e gestione dei servizi pubblici locali di rilevanza economica - Abrogazione,2011,NO,5,VOTI_OTTENUTI,1102871.0,Voti ottenuti,0
REFERENDUM,1. Modalita' di affidamento e gestione dei servizi pubblici locali di rilevanza economica - Abrogazione,2011,NO,5,PERC_ASS,2.34,Percentuale (su aventi diritto),0
REFERENDUM,1. Modalita' di affidamento e gestione dei servizi pubblici locali di rilevanza economica - Abrogazione,2011,BIANCHE,6,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,1. Modalita' di affidamento e gestione dei servizi pubblici locali di rilevanza economica - Abrogazione,2011,BIANCHE,6,VOTI_OTTENUTI,261702.0,Voti ottenuti,1
REFERENDUM,1. Modalita' di affidamento e gestione dei servizi pubblici locali di rilevanza economica - Abrogazione,2011,BIANCHE,6,PERC_ASS,0.56,Percentuale (su aventi diritto),1
REFERENDUM,1. Modalita' di affidamento e gestione dei servizi pubblici locali di rilevanza economica - Abrogazione,2011,NULLE,7,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,1. Modalita' di affidamento e gestione dei servizi pubblici locali di rilevanza economica - Abrogazione,2011,NULLE,7,VOTI_OTTENUTI,100526.0,Voti ottenuti,1
REFERENDUM,1. Modalita' di affidamento e gestione dei servizi pubblici locali di rilevanza economica - Abrogazione,2011,NULLE,7,PERC_ASS,0.21,Percentuale (su aventi diritto),1
REFERENDUM,3. Abrogazione delle nuove norme che consentono la produzione nel territorio di energia elettrica nucleare,2011,ELETTORI,1,VOTI_OTTENUTI,47117456.0,Voti ottenuti,1
REFERENDUM,3. Abrogazione delle nuove norme che consentono la produzione nel territorio di energia elettrica nucleare,2011,ELETTORI,1,PERC_ASS,100.0,Percentuale (su aventi diritto),1
REFERENDUM,3. Abrogazione delle nuove norme che consentono la produzione nel territorio di energia elettrica nucleare,2011,ELETTORI,1,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,3. Abrogazione delle nuove norme che consentono la produzione nel territorio di energia elettrica nucleare,2011,VOTANTI,2,VOTI_OTTENUTI,26862995.0,Voti ottenuti,1
