LISTA,LBL_TIPO_METRICA,ABS_RANK,TIPO_METRICA,LOCALE,NAZIONALE,FLG_NOT_VALID,COMUNE,ANNO
PARTITO DEMOCRATICO,Percentuale (su voti validi),5,PERC_VAL,20.33,25.43,0,VANZAGHELLO,2013
LEGA NORD,Percentuale (su voti validi),6,PERC_VAL,18.77,4.09,0,VANZAGHELLO,2013
IL POPOLO DELLA LIBERTA',Percentuale (su aventi diritto),4,PERC_ASS,18.52,15.63,0,VANZAGHELLO,2013
MOVIMENTO 5 STELLE,Percentuale (su voti validi),7,PERC_VAL,17.7,25.56,0,VANZAGHELLO,2013
PARTITO DEMOCRATICO,Percentuale (su aventi diritto),5,PERC_ASS,15.49,18.43,0,VANZAGHELLO,2013
LEGA NORD,Percentuale (su aventi diritto),6,PERC_ASS,14.29,2.96,0,VANZAGHELLO,2013
MOVIMENTO 5 STELLE,Percentuale (su aventi diritto),7,PERC_ASS,13.48,18.53,0,VANZAGHELLO,2013
SCELTA CIVICA,Percentuale (su voti validi),8,PERC_VAL,9.77,8.3,0,VANZAGHELLO,2013
SCELTA CIVICA,Percentuale (su aventi diritto),8,PERC_ASS,7.44,6.02,0,VANZAGHELLO,2013
IL POPOLO DELLA LIBERTA',Voti ottenuti,3,VOTI_OTTENUTI,1249.0,13629464.0,0,VANZAGHELLO,2008
LEGA NORD,Voti ottenuti,4,VOTI_OTTENUTI,1068.0,3024543.0,0,VANZAGHELLO,2008
PARTITO DEMOCRATICO,Voti ottenuti,5,VOTI_OTTENUTI,705.0,12095306.0,0,VANZAGHELLO,2008
UNIONE DI CENTRO,Voti ottenuti,7,VOTI_OTTENUTI,145.0,2050229.0,0,VANZAGHELLO,2008
DI PIETRO ITALIA DEI VALORI,Voti ottenuti,8,VOTI_OTTENUTI,125.0,1594024.0,0,VANZAGHELLO,2008
IL POPOLO DELLA LIBERTA',Percentuale (su voti validi),3,PERC_VAL,35.33,37.38,0,VANZAGHELLO,2008
LEGA NORD,Percentuale (su voti validi),4,PERC_VAL,30.21,8.3,0,VANZAGHELLO,2008
IL POPOLO DELLA LIBERTA',Percentuale (su aventi diritto),3,PERC_ASS,29.76,28.97,0,VANZAGHELLO,2008
LEGA NORD,Percentuale (su aventi diritto),4,PERC_ASS,25.45,6.43,0,VANZAGHELLO,2008
PARTITO DEMOCRATICO,Percentuale (su voti validi),5,PERC_VAL,19.94,33.18,0,VANZAGHELLO,2008
PARTITO DEMOCRATICO,Percentuale (su aventi diritto),5,PERC_ASS,16.8,25.71,0,VANZAGHELLO,2008
UNIONE DI CENTRO,Percentuale (su voti validi),7,PERC_VAL,4.1,5.62,0,VANZAGHELLO,2008
DI PIETRO ITALIA DEI VALORI,Percentuale (su voti validi),8,PERC_VAL,3.54,4.37,0,VANZAGHELLO,2008
UNIONE DI CENTRO,Percentuale (su aventi diritto),7,PERC_ASS,3.45,4.36,0,VANZAGHELLO,2008
DI PIETRO ITALIA DEI VALORI,Percentuale (su aventi diritto),8,PERC_ASS,2.98,3.39,0,VANZAGHELLO,2008
FORZA ITALIA,Voti ottenuti,3,VOTI_OTTENUTI,1054.0,9048976.0,0,VANZAGHELLO,2006
L'ULIVO,Voti ottenuti,4,VOTI_OTTENUTI,768.0,11930983.0,0,VANZAGHELLO,2006
LEGA NORD,Voti ottenuti,5,VOTI_OTTENUTI,669.0,1747730.0,0,VANZAGHELLO,2006
ALLEANZA NAZIONALE,Voti ottenuti,7,VOTI_OTTENUTI,310.0,4707126.0,0,VANZAGHELLO,2006
UNIONE DI CENTRO,Voti ottenuti,8,VOTI_OTTENUTI,224.0,2580190.0,0,VANZAGHELLO,2006
FORZA ITALIA,Percentuale (su voti validi),3,PERC_VAL,29.39,23.72,0,VANZAGHELLO,2006
FORZA ITALIA,Percentuale (su aventi diritto),3,PERC_ASS,25.31,19.25,0,VANZAGHELLO,2006
L'ULIVO,Percentuale (su voti validi),4,PERC_VAL,21.42,31.27,0,VANZAGHELLO,2006
LEGA NORD,Percentuale (su voti validi),5,PERC_VAL,18.66,4.58,0,VANZAGHELLO,2006
L'ULIVO,Percentuale (su aventi diritto),4,PERC_ASS,18.44,25.39,0,VANZAGHELLO,2006
LEGA NORD,Percentuale (su aventi diritto),5,PERC_ASS,16.07,3.72,0,VANZAGHELLO,2006
ALLEANZA NAZIONALE,Percentuale (su voti validi),7,PERC_VAL,8.64,12.34,0,VANZAGHELLO,2006
ALLEANZA NAZIONALE,Percentuale (su aventi diritto),7,PERC_ASS,7.44,10.02,0,VANZAGHELLO,2006
UNIONE DI CENTRO,Percentuale (su voti validi),8,PERC_VAL,6.25,6.76,0,VANZAGHELLO,2006
UNIONE DI CENTRO,Percentuale (su aventi diritto),8,PERC_ASS,5.38,5.49,0,VANZAGHELLO,2006
FORZA ITALIA,Voti ottenuti,3,VOTI_OTTENUTI,1120.0,10923431.0,0,VANZAGHELLO,2001
LEGA NORD,Voti ottenuti,4,VOTI_OTTENUTI,645.0,1464301.0,0,VANZAGHELLO,2001
LA MARGHERITA,Voti ottenuti,5,VOTI_OTTENUTI,536.0,5391827.0,0,VANZAGHELLO,2001
DEMOCRATICI SINISTRA,Voti ottenuti,7,VOTI_OTTENUTI,263.0,6151154.0,0,VANZAGHELLO,2001
ALLEANZA NAZIONALE,Voti ottenuti,8,VOTI_OTTENUTI,197.0,4463205.0,0,VANZAGHELLO,2001
FORZA ITALIA,Percentuale (su voti validi),3,PERC_VAL,33.37,29.43,0,VANZAGHELLO,2001
FORZA ITALIA,Percentuale (su aventi diritto),3,PERC_ASS,27.52,22.18,0,VANZAGHELLO,2001
LEGA NORD,Percentuale (su voti validi),4,PERC_VAL,19.22,3.94,0,VANZAGHELLO,2001
LA MARGHERITA,Percentuale (su voti validi),5,PERC_VAL,15.97,14.52,0,VANZAGHELLO,2001
LEGA NORD,Percentuale (su aventi diritto),4,PERC_ASS,15.85,2.97,0,VANZAGHELLO,2001
LA MARGHERITA,Percentuale (su aventi diritto),5,PERC_ASS,13.17,10.95,0,VANZAGHELLO,2001
DEMOCRATICI SINISTRA,Percentuale (su voti validi),7,PERC_VAL,7.84,16.57,0,VANZAGHELLO,2001
DEMOCRATICI SINISTRA,Percentuale (su aventi diritto),7,PERC_ASS,6.46,12.49,0,VANZAGHELLO,2001
ALLEANZA NAZIONALE,Percentuale (su voti validi),8,PERC_VAL,5.87,12.02,0,VANZAGHELLO,2001
ALLEANZA NAZIONALE,Percentuale (su aventi diritto),8,PERC_ASS,4.84,9.06,0,VANZAGHELLO,2001
LEGA NORD,Voti ottenuti,3,VOTI_OTTENUTI,1270.0,3776354.0,0,VANZAGHELLO,1996
FORZA ITALIA,Voti ottenuti,4,VOTI_OTTENUTI,797.0,7712149.0,0,VANZAGHELLO,1996
PDS,Voti ottenuti,6,VOTI_OTTENUTI,372.0,7894118.0,0,VANZAGHELLO,1996
POPOLARI PER PRODI,Voti ottenuti,7,VOTI_OTTENUTI,219.0,2554072.0,0,VANZAGHELLO,1996
ALLEANZA NAZIONALE,Voti ottenuti,8,VOTI_OTTENUTI,175.0,5870491.0,0,VANZAGHELLO,1996
LEGA NORD,Percentuale (su voti validi),3,PERC_VAL,37.78,10.07,0,VANZAGHELLO,1996
LEGA NORD,Percentuale (su aventi diritto),3,PERC_ASS,32.59,7.75,0,VANZAGHELLO,1996
FORZA ITALIA,Percentuale (su voti validi),4,PERC_VAL,23.71,20.57,0,VANZAGHELLO,1996
FORZA ITALIA,Percentuale (su aventi diritto),4,PERC_ASS,20.45,15.82,0,VANZAGHELLO,1996
PDS,Percentuale (su voti validi),6,PERC_VAL,11.06,21.06,0,VANZAGHELLO,1996
PDS,Percentuale (su aventi diritto),6,PERC_ASS,9.55,16.19,0,VANZAGHELLO,1996
POPOLARI PER PRODI,Percentuale (su voti validi),7,PERC_VAL,6.51,6.81,0,VANZAGHELLO,1996
POPOLARI PER PRODI,Percentuale (su aventi diritto),7,PERC_ASS,5.62,5.24,0,VANZAGHELLO,1996
ALLEANZA NAZIONALE,Percentuale (su voti validi),8,PERC_VAL,5.21,15.66,0,VANZAGHELLO,1996
ALLEANZA NAZIONALE,Percentuale (su aventi diritto),8,PERC_ASS,4.49,12.04,0,VANZAGHELLO,1996
LEGA NORD,Voti ottenuti,3,VOTI_OTTENUTI,1208.0,3235248.0,0,VANZAGHELLO,1994
FORZA ITALIA,Voti ottenuti,4,VOTI_OTTENUTI,794.0,8136135.0,0,VANZAGHELLO,1994
PDS,Voti ottenuti,5,VOTI_OTTENUTI,338.0,7881646.0,0,VANZAGHELLO,1994
P.POPOLARE ITALIANO,Voti ottenuti,6,VOTI_OTTENUTI,294.0,4287172.0,0,VANZAGHELLO,1994
PATTO SEGNI,Voti ottenuti,8,VOTI_OTTENUTI,140.0,1811814.0,0,VANZAGHELLO,1994
LEGA NORD,Percentuale (su voti validi),3,PERC_VAL,35.0,8.36,0,VANZAGHELLO,1994
LEGA NORD,Percentuale (su aventi diritto),3,PERC_ASS,31.37,6.72,0,VANZAGHELLO,1994
FORZA ITALIA,Percentuale (su voti validi),4,PERC_VAL,23.01,21.01,0,VANZAGHELLO,1994
FORZA ITALIA,Percentuale (su aventi diritto),4,PERC_ASS,20.62,16.9,0,VANZAGHELLO,1994
PDS,Percentuale (su voti validi),5,PERC_VAL,9.79,20.36,0,VANZAGHELLO,1994
PDS,Percentuale (su aventi diritto),5,PERC_ASS,8.78,16.37,0,VANZAGHELLO,1994
P.POPOLARE ITALIANO,Percentuale (su voti validi),6,PERC_VAL,8.52,11.07,0,VANZAGHELLO,1994
P.POPOLARE ITALIANO,Percentuale (su aventi diritto),6,PERC_ASS,7.63,8.91,0,VANZAGHELLO,1994
PATTO SEGNI,Percentuale (su voti validi),8,PERC_VAL,4.06,4.68,0,VANZAGHELLO,1994
PATTO SEGNI,Percentuale (su aventi diritto),8,PERC_ASS,3.64,3.76,0,VANZAGHELLO,1994
LEGA LOMBARDA,Voti ottenuti,3,VOTI_OTTENUTI,1175.0,3396012.0,0,VANZAGHELLO,1992
DC,Voti ottenuti,4,VOTI_OTTENUTI,682.0,11640265.0,0,VANZAGHELLO,1992
P.S.I.,Voti ottenuti,5,VOTI_OTTENUTI,433.0,5343930.0,0,VANZAGHELLO,1992
PDS,Voti ottenuti,6,VOTI_OTTENUTI,303.0,6321084.0,0,VANZAGHELLO,1992
FEDERAZIONE DEI VERDI,Voti ottenuti,8,VOTI_OTTENUTI,149.0,1093995.0,0,VANZAGHELLO,1992
LEGA LOMBARDA,Percentuale (su voti validi),3,PERC_VAL,34.63,8.65,0,VANZAGHELLO,1992
LEGA LOMBARDA,Percentuale (su aventi diritto),3,PERC_ASS,30.87,7.15,0,VANZAGHELLO,1992
DC,Percentuale (su voti validi),4,PERC_VAL,20.1,29.66,0,VANZAGHELLO,1992
DC,Percentuale (su aventi diritto),4,PERC_ASS,17.92,24.51,0,VANZAGHELLO,1992
P.S.I.,Percentuale (su voti validi),5,PERC_VAL,12.76,13.62,0,VANZAGHELLO,1992
P.S.I.,Percentuale (su aventi diritto),5,PERC_ASS,11.38,11.25,0,VANZAGHELLO,1992
PDS,Percentuale (su voti validi),6,PERC_VAL,8.93,16.11,0,VANZAGHELLO,1992
PDS,Percentuale (su aventi diritto),6,PERC_ASS,7.96,13.31,0,VANZAGHELLO,1992
FEDERAZIONE DEI VERDI,Percentuale (su voti validi),8,PERC_VAL,4.39,2.79,0,VANZAGHELLO,1992
FEDERAZIONE DEI VERDI,Percentuale (su aventi diritto),8,PERC_ASS,3.91,2.3,0,VANZAGHELLO,1992
DC,Voti ottenuti,3,VOTI_OTTENUTI,1143.0,13233620.0,0,VANZAGHELLO,1987
PCI,Voti ottenuti,4,VOTI_OTTENUTI,695.0,10250644.0,0,VANZAGHELLO,1987
P.S.I.,Voti ottenuti,5,VOTI_OTTENUTI,555.0,5501696.0,0,VANZAGHELLO,1987
LEGA LOMBARDA,Voti ottenuti,6,VOTI_OTTENUTI,236.0,186255.0,0,VANZAGHELLO,1987
LISTA VERDE,Voti ottenuti,8,VOTI_OTTENUTI,113.0,969218.0,0,VANZAGHELLO,1987
DC,Percentuale (su voti validi),3,PERC_VAL,35.72,34.31,0,VANZAGHELLO,1987
DC,Percentuale (su aventi diritto),3,PERC_ASS,31.93,28.96,0,VANZAGHELLO,1987
PCI,Percentuale (su voti validi),4,PERC_VAL,21.72,26.58,0,VANZAGHELLO,1987
PCI,Percentuale (su aventi diritto),4,PERC_ASS,19.41,22.43,0,VANZAGHELLO,1987
P.S.I.,Percentuale (su voti validi),5,PERC_VAL,17.34,14.26,0,VANZAGHELLO,1987
P.S.I.,Percentuale (su aventi diritto),5,PERC_ASS,15.5,12.04,0,VANZAGHELLO,1987
LEGA LOMBARDA,Percentuale (su voti validi),6,PERC_VAL,7.38,0.48,0,VANZAGHELLO,1987
LEGA LOMBARDA,Percentuale (su aventi diritto),6,PERC_ASS,6.59,0.41,0,VANZAGHELLO,1987
LISTA VERDE,Percentuale (su voti validi),8,PERC_VAL,3.53,2.51,0,VANZAGHELLO,1987
LISTA VERDE,Percentuale (su aventi diritto),8,PERC_ASS,3.16,2.12,0,VANZAGHELLO,1987
DC,Voti ottenuti,3,VOTI_OTTENUTI,1024.0,12153081.0,0,VANZAGHELLO,1983
PCI,Voti ottenuti,4,VOTI_OTTENUTI,755.0,11032318.0,0,VANZAGHELLO,1983
P.S.I.,Voti ottenuti,5,VOTI_OTTENUTI,418.0,4223362.0,0,VANZAGHELLO,1983
PRI,Voti ottenuti,7,VOTI_OTTENUTI,151.0,1874512.0,0,VANZAGHELLO,1983
PSDI,Voti ottenuti,8,VOTI_OTTENUTI,142.0,1508234.0,0,VANZAGHELLO,1983
DC,Percentuale (su voti validi),3,PERC_VAL,35.1,32.93,0,VANZAGHELLO,1983
DC,Percentuale (su aventi diritto),3,PERC_ASS,30.61,27.29,0,VANZAGHELLO,1983
PCI,Percentuale (su voti validi),4,PERC_VAL,25.88,29.89,0,VANZAGHELLO,1983
PCI,Percentuale (su aventi diritto),4,PERC_ASS,22.57,24.78,0,VANZAGHELLO,1983
P.S.I.,Percentuale (su voti validi),5,PERC_VAL,14.33,11.44,0,VANZAGHELLO,1983
P.S.I.,Percentuale (su aventi diritto),5,PERC_ASS,12.5,9.49,0,VANZAGHELLO,1983
PRI,Percentuale (su voti validi),7,PERC_VAL,5.18,5.08,0,VANZAGHELLO,1983
PSDI,Percentuale (su voti validi),8,PERC_VAL,4.87,4.09,0,VANZAGHELLO,1983
PRI,Percentuale (su aventi diritto),7,PERC_ASS,4.51,4.21,0,VANZAGHELLO,1983
PSDI,Percentuale (su aventi diritto),8,PERC_ASS,4.25,3.39,0,VANZAGHELLO,1983
DC,Voti ottenuti,3,VOTI_OTTENUTI,1290.0,14046290.0,0,VANZAGHELLO,1979
PCI,Voti ottenuti,4,VOTI_OTTENUTI,818.0,11139231.0,0,VANZAGHELLO,1979
PSI,Voti ottenuti,5,VOTI_OTTENUTI,276.0,3596802.0,0,VANZAGHELLO,1979
PSDI,Voti ottenuti,7,VOTI_OTTENUTI,131.0,1407535.0,0,VANZAGHELLO,1979
P.RAD,Voti ottenuti,9,VOTI_OTTENUTI,74.0,1264870.0,0,VANZAGHELLO,1979
DC,Percentuale (su voti validi),3,PERC_VAL,44.76,38.3,0,VANZAGHELLO,1979
DC,Percentuale (su aventi diritto),3,PERC_ASS,40.41,33.28,0,VANZAGHELLO,1979
PCI,Percentuale (su voti validi),4,PERC_VAL,28.38,30.38,0,VANZAGHELLO,1979
PCI,Percentuale (su aventi diritto),4,PERC_ASS,25.63,26.39,0,VANZAGHELLO,1979
PSI,Percentuale (su voti validi),5,PERC_VAL,9.58,9.81,0,VANZAGHELLO,1979
PSI,Percentuale (su aventi diritto),5,PERC_ASS,8.65,8.52,0,VANZAGHELLO,1979
PSDI,Percentuale (su voti validi),7,PERC_VAL,4.55,3.84,0,VANZAGHELLO,1979
PSDI,Percentuale (su aventi diritto),7,PERC_ASS,4.1,3.34,0,VANZAGHELLO,1979
P.RAD,Percentuale (su voti validi),9,PERC_VAL,2.57,3.45,0,VANZAGHELLO,1979
P.RAD,Percentuale (su aventi diritto),9,PERC_ASS,2.32,3.0,0,VANZAGHELLO,1979
DC,Voti ottenuti,3,VOTI_OTTENUTI,1239.0,14209519.0,0,VANZAGHELLO,1976
PCI,Voti ottenuti,4,VOTI_OTTENUTI,922.0,12614650.0,0,VANZAGHELLO,1976
PSI,Voti ottenuti,5,VOTI_OTTENUTI,344.0,3540309.0,0,VANZAGHELLO,1976
DEM.PROL,Voti ottenuti,7,VOTI_OTTENUTI,96.0,557025.0,0,VANZAGHELLO,1976
PSDI,Voti ottenuti,9,VOTI_OTTENUTI,84.0,1239492.0,0,VANZAGHELLO,1976
DC,Percentuale (su voti validi),3,PERC_VAL,43.14,38.71,0,VANZAGHELLO,1976
DC,Percentuale (su aventi diritto),3,PERC_ASS,39.69,35.15,0,VANZAGHELLO,1976
PCI,Percentuale (su voti validi),4,PERC_VAL,32.1,34.37,0,VANZAGHELLO,1976
PCI,Percentuale (su aventi diritto),4,PERC_ASS,29.53,31.2,0,VANZAGHELLO,1976
PSI,Percentuale (su voti validi),5,PERC_VAL,11.98,9.64,0,VANZAGHELLO,1976
PSI,Percentuale (su aventi diritto),5,PERC_ASS,11.02,8.76,0,VANZAGHELLO,1976
DEM.PROL,Percentuale (su voti validi),7,PERC_VAL,3.34,1.52,0,VANZAGHELLO,1976
DEM.PROL,Percentuale (su aventi diritto),7,PERC_ASS,3.07,1.38,0,VANZAGHELLO,1976
PSDI,Percentuale (su voti validi),9,PERC_VAL,2.92,3.38,0,VANZAGHELLO,1976
PSDI,Percentuale (su aventi diritto),9,PERC_ASS,2.69,3.07,0,VANZAGHELLO,1976
DC,Voti ottenuti,3,VOTI_OTTENUTI,1288.0,12912466.0,0,VANZAGHELLO,1972
PCI,Voti ottenuti,4,VOTI_OTTENUTI,553.0,9068961.0,0,VANZAGHELLO,1972
PSI,Voti ottenuti,5,VOTI_OTTENUTI,365.0,3208497.0,0,VANZAGHELLO,1972
PSDI,Voti ottenuti,8,VOTI_OTTENUTI,84.0,1718142.0,0,VANZAGHELLO,1972
PLI,Voti ottenuti,9,VOTI_OTTENUTI,82.0,1300439.0,0,VANZAGHELLO,1972
DC,Percentuale (su voti validi),3,PERC_VAL,50.06,38.66,0,VANZAGHELLO,1972
DC,Percentuale (su aventi diritto),3,PERC_ASS,46.4,34.85,0,VANZAGHELLO,1972
PCI,Percentuale (su voti validi),4,PERC_VAL,21.49,27.15,0,VANZAGHELLO,1972
PCI,Percentuale (su aventi diritto),4,PERC_ASS,19.92,24.48,0,VANZAGHELLO,1972
PSI,Percentuale (su voti validi),5,PERC_VAL,14.19,9.61,0,VANZAGHELLO,1972
PSI,Percentuale (su aventi diritto),5,PERC_ASS,13.15,8.66,0,VANZAGHELLO,1972
PSDI,Percentuale (su voti validi),8,PERC_VAL,3.26,5.14,0,VANZAGHELLO,1972
PLI,Percentuale (su voti validi),9,PERC_VAL,3.19,3.89,0,VANZAGHELLO,1972
PSDI,Percentuale (su aventi diritto),8,PERC_ASS,3.03,4.64,0,VANZAGHELLO,1972
PLI,Percentuale (su aventi diritto),9,PERC_ASS,2.95,3.51,0,VANZAGHELLO,1972
DC,Voti ottenuti,3,VOTI_OTTENUTI,3211.0,12437848.0,0,MAGNAGO,1968
PCI,Voti ottenuti,4,VOTI_OTTENUTI,1150.0,8551347.0,0,MAGNAGO,1968
PSU,Voti ottenuti,5,VOTI_OTTENUTI,923.0,4603192.0,0,MAGNAGO,1968
PSIUP,Voti ottenuti,6,VOTI_OTTENUTI,294.0,1414697.0,0,MAGNAGO,1968
PLI,Voti ottenuti,9,VOTI_OTTENUTI,218.0,1850650.0,0,MAGNAGO,1968
DC,Percentuale (su voti validi),3,PERC_VAL,53.46,39.12,0,MAGNAGO,1968
DC,Percentuale (su aventi diritto),3,PERC_ASS,49.06,34.97,0,MAGNAGO,1968
PCI,Percentuale (su voti validi),4,PERC_VAL,19.15,26.9,0,MAGNAGO,1968
PCI,Percentuale (su aventi diritto),4,PERC_ASS,17.57,24.04,0,MAGNAGO,1968
PSU,Percentuale (su voti validi),5,PERC_VAL,15.37,14.48,0,MAGNAGO,1968
PSU,Percentuale (su aventi diritto),5,PERC_ASS,14.1,12.94,0,MAGNAGO,1968
PSIUP,Percentuale (su voti validi),6,PERC_VAL,4.9,4.45,0,MAGNAGO,1968
PSIUP,Percentuale (su aventi diritto),6,PERC_ASS,4.49,3.98,0,MAGNAGO,1968
PLI,Percentuale (su voti validi),9,PERC_VAL,3.63,5.82,0,MAGNAGO,1968
PLI,Percentuale (su aventi diritto),9,PERC_ASS,3.33,5.2,0,MAGNAGO,1968
DC,Voti ottenuti,3,VOTI_OTTENUTI,2962.0,11773182.0,0,MAGNAGO,1963
PSI,Voti ottenuti,4,VOTI_OTTENUTI,1209.0,4255836.0,0,MAGNAGO,1963
PCI,Voti ottenuti,5,VOTI_OTTENUTI,852.0,7767601.0,0,MAGNAGO,1963
PSDI,Voti ottenuti,6,VOTI_OTTENUTI,306.0,1876271.0,0,MAGNAGO,1963
PLI,Voti ottenuti,8,VOTI_OTTENUTI,178.0,2144270.0,0,MAGNAGO,1963
DC,Percentuale (su voti validi),3,PERC_VAL,51.99,38.28,0,MAGNAGO,1963
DC,Percentuale (su aventi diritto),3,PERC_ASS,48.54,34.43,0,MAGNAGO,1963
PSI,Percentuale (su voti validi),4,PERC_VAL,21.22,13.84,0,MAGNAGO,1963
PSI,Percentuale (su aventi diritto),4,PERC_ASS,19.81,12.44,0,MAGNAGO,1963
PCI,Percentuale (su voti validi),5,PERC_VAL,14.96,25.26,0,MAGNAGO,1963
PCI,Percentuale (su aventi diritto),5,PERC_ASS,13.96,22.71,0,MAGNAGO,1963
PSDI,Percentuale (su voti validi),6,PERC_VAL,5.37,6.1,0,MAGNAGO,1963
PSDI,Percentuale (su aventi diritto),6,PERC_ASS,5.01,5.49,0,MAGNAGO,1963
PLI,Percentuale (su voti validi),8,PERC_VAL,3.12,6.97,0,MAGNAGO,1963
PLI,Percentuale (su aventi diritto),8,PERC_ASS,2.92,6.27,0,MAGNAGO,1963
DC,Voti ottenuti,3,VOTI_OTTENUTI,2705.0,12520207.0,0,MAGNAGO,1958
PSI,Voti ottenuti,4,VOTI_OTTENUTI,964.0,4206726.0,0,MAGNAGO,1958
PCI,Voti ottenuti,5,VOTI_OTTENUTI,696.0,6704454.0,0,MAGNAGO,1958
PSDI,Voti ottenuti,6,VOTI_OTTENUTI,325.0,1345447.0,0,MAGNAGO,1958
MSI,Voti ottenuti,9,VOTI_OTTENUTI,94.0,1407718.0,0,MAGNAGO,1958
DC,Percentuale (su voti validi),3,PERC_VAL,54.59,42.35,0,MAGNAGO,1958
DC,Percentuale (su aventi diritto),3,PERC_ASS,50.96,38.6,0,MAGNAGO,1958
PSI,Percentuale (su voti validi),4,PERC_VAL,19.46,14.23,0,MAGNAGO,1958
PSI,Percentuale (su aventi diritto),4,PERC_ASS,18.16,12.97,0,MAGNAGO,1958
PCI,Percentuale (su voti validi),5,PERC_VAL,14.05,22.68,0,MAGNAGO,1958
PCI,Percentuale (su aventi diritto),5,PERC_ASS,13.11,20.67,0,MAGNAGO,1958
